"BehaviorSpace results (NetLogo 6.1.0)"
"Segregation2.nlogo"
"experiment2"
"11/06/2019 12:49:50:393 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","density","%-similar-wanted","[step]","count turtles with [not happy?]","percent-similar","percent-unhappy"
"140","80","23","7","0","59.82879853255885","0"
"141","80","24","8","0","60.666066606660664","0"
"139","80","23","9","0","59.36457275496881","0"
"142","80","24","8","0","59.59777877832808","0"
"144","80","24","7","0","59.25309948593892","0"
"145","80","24","7","0","60.41085840058694","0"
"143","80","24","9","0","58.8809946714032","0"
"147","80","24","7","0","59.50007667535654","0"
"146","80","24","9","0","58.00984936268829","0"
"148","80","24","7","0","58.59853578365456","0"
"150","80","24","7","0","59.58013010053222","0"
"149","80","24","9","0","59.011235955056186","0"
"151","80","25","6","0","58.610987709166295","0"
"152","80","25","9","0","60.53871062702384","0"
"154","80","25","7","0","60.03635812755643","0"
"156","80","25","6","0","59.21130952380952","0"
"153","80","25","9","0","59.09419765591086","0"
"155","80","25","8","0","57.67380848272846","0"
"158","80","25","8","0","58.63496932515338","0"
"157","80","25","9","0","59.89168045734918","0"
"159","80","25","11","0","61.05681124007331","0"
"160","80","25","8","0","60.56498787273505","0"
"161","80","26","11","0","64.68424279583078","0"
"165","80","26","7","0","62.78236485433868","0"
"164","80","26","11","0","64.21935870542403","0"
"163","80","26","12","0","64.15094339622641","0"
"162","80","26","14","0","64.68967517401391","0"
"166","80","26","10","0","66.66666666666666","0"
"169","80","26","8","0","64.74339508047373","0"
"168","80","26","13","0","64.19418061209106","0"
"171","80","27","9","0","64.08378497143694","0"
"170","80","26","12","0","65.31036531036531","0"
"167","80","26","17","0","64.85949908368967","0"
"172","80","27","12","0","64.70674702337205","0"
"173","80","27","14","0","62.19565534334451","0"
"174","80","27","15","0","63.16913222510294","0"
"175","80","27","10","0","65.10385756676558","0"
"177","80","27","10","0","66.3379854368932","0"
"176","80","27","11","0","63.46350738628054","0"
"181","80","28","8","0","64.55715599141894","0"
"178","80","27","12","0","65.57111274871039","0"
"179","80","27","13","0","62.48846508766533","0"
"180","80","27","11","0","63.45381526104418","0"
"183","80","28","12","0","64.21227698820682","0"
"182","80","28","13","0","64.03368665601859","0"
"184","80","28","10","0","64.48598130841121","0"
"185","80","28","10","0","65.28890160183066","0"
"186","80","28","9","0","64.03103088169476","0"
"189","80","28","8","0","65.06838788996465","0"
"188","80","28","11","0","62.956091527520094","0"
"187","80","28","15","0","64.45947891176047","0"
"192","80","29","11","0","74.64530892448512","0"
"193","80","29","11","0","72.69350765116624","0"
"190","80","28","15","0","66.37365911799762","0"
"195","80","29","14","0","72.19847328244275","0"
"194","80","29","16","0","71.04045379907448","0"
"197","80","29","10","0","74.14490049751244","0"
"196","80","29","15","0","72.88888888888889","0"
"191","80","29","23","0","73.14074984634297","0"
"199","80","29","13","0","72.64637002341921","0"
"198","80","29","14","0","74.83139178418149","0"
"200","80","29","14","0","73.16534040671971","0"
"202","80","30","10","0","72.40047534165181","0"
"201","80","30","12","0","74.37481169026815","0"
"204","80","30","12","0","72.22138667468792","0"
"203","80","30","13","0","71.96866998041874","0"
"207","80","30","13","0","71.32310364794441","0"
"208","80","30","11","0","72.0979125994894","0"
"205","80","30","14","0","72.31864708500223","0"
"209","80","30","12","0","73.86965068803872","0"
"206","80","30","21","0","73.07232516437537","0"
"211","80","31","12","0","71.75319789315274","0"
"212","80","31","13","0","73.81170018281536","0"
"210","80","30","16","0","73.58796637664061","0"
"213","80","31","13","0","75.46654528903049","0"
"214","80","31","12","0","73.18361955085865","0"
"216","80","31","12","0","73.04499781564002","0"
"215","80","31","17","0","71.71249252839212","0"
"220","80","31","15","0","73.4678624813154","0"
"217","80","31","18","0","72.95427196149218","0"
"219","80","31","15","0","71.89197123146926","0"
"221","80","32","11","0","71.8577648766328","0"
"222","80","32","12","0","74.5022857985548","0"
"218","80","31","23","0","71.29464285714285","0"
"224","80","32","14","0","71.58956109134044","0"
"228","80","32","11","0","72.64179104477611","0"
"223","80","32","19","0","73.81980640357409","0"
"226","80","32","13","0","74.62664277180406","0"
"227","80","32","16","0","73.36311816361115","0"
"225","80","32","17","0","72.89677804295943","0"
"230","80","32","13","0","73.98710865561694","0"
"229","80","32","18","0","72.59492720996548","0"
"231","80","33","11","0","73.67573895229734","0"
"233","80","33","10","0","72.1881390593047","0"
"232","80","33","11","0","74.49860928121798","0"
"234","80","33","14","0","74.00306748466258","0"
"235","80","33","13","0","73.01495137175206","0"
"237","80","33","13","0","72.10177657332129","0"
"236","80","33","16","0","72.95266716754321","0"
"239","80","33","12","0","74.62664277180406","0"
"241","80","34","12","0","78.08282208588957","0"
"238","80","33","18","0","73.20891029500302","0"
"240","80","33","14","0","72.72333044232437","0"
"242","80","34","13","0","77.54218306704495","0"
"243","80","34","13","0","76.73657593336308","0"
"247","80","34","11","0","76.71934445419959","0"
"245","80","34","17","0","77.80701754385964","0"
"244","80","34","20","0","78.00029669188547","0"
"246","80","34","16","0","74.59944142290166","0"
"249","80","34","13","0","77.80206966914443","0"
"250","80","34","16","0","76.17785630153121","0"
"251","80","35","12","0","76.65770609318996","0"
"248","80","34","18","0","78.50728691299868","0"
"254","80","35","11","0","76.16505554754004","0"
"253","80","35","13","0","77.01637355973318","0"
"252","80","35","14","0","76.94428322692978","0"
"255","80","35","14","0","77.70050310742823","0"
"256","80","35","14","0","76.77268748176247","0"
"258","80","35","11","0","76.71314150103827","0"
"259","80","35","11","0","79.06698564593302","0"
"257","80","35","14","0","76.46084337349399","0"
"260","80","35","11","0","75.35380909364649","0"
"262","80","36","12","0","77.73401999394123","0"
"261","80","36","12","0","77.26150718745463","0"
"263","80","36","11","0","76.39770323360531","0"
"264","80","36","11","0","79.10897049969897","0"
"265","80","36","12","0","78.90402754903428","0"
"266","80","36","15","0","76.32445375636037","0"
"267","80","36","17","0","75.96771782992079","0"
"268","80","36","13","0","78.86239075692491","0"
"270","80","36","12","0","76.3346257083209","0"
"269","80","36","12","0","77.70681716916678","0"
"271","80","37","14","0","77.7555396711937","0"
"272","80","37","13","0","77.07515627271407","0"
"273","80","37","14","0","76.97004943297469","0"
"276","80","37","14","0","78.13348577961983","0"
"275","80","37","17","0","79.13561847988078","0"
"278","80","37","15","0","78.08693036546849","0"
"277","80","37","16","0","76.57352941176471","0"
"279","80","37","14","0","77.20876251269404","0"
"280","80","37","15","0","76.4366967055695","0"
"274","80","37","27","0","78.80360140393712","0"
"281","80","38","20","0","80.93355633267447","0"
"283","80","38","13","0","80.34733560932166","0"
"284","80","38","15","0","80.50936329588015","0"
"282","80","38","17","0","80.55059523809524","0"
"285","80","38","14","0","80.75998798437969","0"
"287","80","38","13","0","79.92283950617283","0"
"286","80","38","14","0","80.14574657941701","0"
"288","80","38","13","0","81.59059685544192","0"
"290","80","38","13","0","80.03287998804363","0"
"293","80","39","12","0","79.35334872979215","0"
"295","80","39","14","0","81.13561708118255","0"
"289","80","38","20","0","81.13975576662143","0"
"291","80","39","18","0","81.21538691812603","0"
"292","80","39","18","0","79.52708769829393","0"
"296","80","39","13","0","80.39585296889726","0"
"294","80","39","19","0","80.370942812983","0"
"297","80","39","13","0","81.79296247627391","0"
"299","80","39","11","0","79.82704636946474","0"
"300","80","39","14","0","80.17306816456657","0"
"303","80","40","13","0","82.03306040475823","0"
"301","80","40","13","0","80.84167157151265","0"
"298","80","39","19","0","81.14920933145451","0"
"302","80","40","15","0","80.99533904675988","0"
"304","80","40","19","0","80.99628252788104","0"
"305","80","40","17","0","81.23916811091854","0"
"307","80","40","13","0","80.4321176831137","0"
"308","80","40","15","0","80.53851907255049","0"
"309","80","40","14","0","80.94117647058823","0"
"306","80","40","20","0","80.37550290567724","0"
"311","80","41","17","0","83.63851151801536","0"
"310","80","40","20","0","81.16710875331566","0"
"312","80","41","16","0","83.12629399585921","0"
"314","80","41","13","0","83.12618803918703","0"
"315","80","41","14","0","81.97700462893833","0"
"316","80","41","14","0","83.81711535569258","0"
"313","80","41","19","0","81.38659719206832","0"
"317","80","41","17","0","82.41563055062167","0"
"319","80","41","14","0","82.15458072217248","0"
"318","80","41","15","0","82.68806123951126","0"
"320","80","41","12","0","83.37505522014432","0"
"322","80","42","18","0","82.72440234551195","0"
"321","80","42","19","0","83.35386510625192","0"
"323","80","42","17","0","81.97178959741404","0"
"326","80","42","12","0","82.4251497005988","0"
"325","80","42","14","0","83.30327622482717","0"
"324","80","42","17","0","82.52887177968611","0"
"327","80","42","15","0","82.31671554252199","0"
"328","80","42","15","0","83.87622149837134","0"
"330","80","42","15","0","83.69565217391305","0"
"329","80","42","15","0","83.17659352142111","0"
"332","80","43","17","0","86.75456078491491","0"
"333","80","43","17","0","86.58123434968331","0"
"331","80","43","21","0","87.7340122809645","0"
"334","80","43","19","0","86.72248803827752","0"
"336","80","43","23","0","87.62792118527571","0"
"335","80","43","24","0","87.38221436984688","0"
"337","80","43","19","0","86.22169601894332","0"
"338","80","43","19","0","87.03427719821163","0"
"339","80","43","18","0","86.77139920716488","0"
"342","80","44","16","0","86.545981173063","0"
"341","80","44","19","0","86.95204471903502","0"
"340","80","43","25","0","87.17643558464742","0"
"344","80","44","19","0","88.20664206642066","0"
"345","80","44","13","0","87.2845831392641","0"
"343","80","44","22","0","87.03204552261155","0"
"346","80","44","16","0","86.24338624338624","0"
"348","80","44","14","0","86.40196228729113","0"
"347","80","44","22","0","87.30549992297027","0"
"349","80","44","25","0","88.25724949755957","0"
"353","80","45","16","0","86.051342929218","0"
"351","80","45","23","0","85.76533650982728","0"
"355","80","45","17","0","86.19005328596802","0"
"352","80","45","22","0","87.56795422031473","0"
"354","80","45","24","0","87.20046756282875","0"
"356","80","45","18","0","87.30060399566362","0"
"350","80","44","36","0","87.08673091178652","0"
"358","80","45","16","0","87.62808921036769","0"
"357","80","45","20","0","86.01137043686415","0"
"359","80","45","16","0","85.77586206896551","0"
